,Timestamp,RFID,Wedge,Reader,Location,Mouse,Genotype,AssignedWedge,Date,Week,Day,Hour,Minute,Second
1,8/19/21 5:15,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/19/21,Week 5,19-Aug,5,15,5
2,8/19/21 5:01,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/19/21,Week 5,19-Aug,5,1,14
3,8/19/21 4:38,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/19/21,Week 5,19-Aug,4,38,30
4,8/19/21 4:19,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/19/21,Week 5,19-Aug,4,19,7
5,8/19/21 3:18,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/19/21,Week 5,19-Aug,3,18,0
6,8/19/21 3:03,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/19/21,Week 5,19-Aug,3,3,19
7,8/18/21 22:53,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/18/21,Week 5,18-Aug,22,53,48
8,8/18/21 22:37,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/18/21,Week 5,18-Aug,22,37,20
9,8/18/21 21:29,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/18/21,Week 5,18-Aug,21,29,13
10,8/18/21 21:19,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/18/21,Week 5,18-Aug,21,19,12
11,8/18/21 6:22,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/18/21,Week 5,18-Aug,6,22,14
12,8/18/21 6:13,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/18/21,Week 5,18-Aug,6,13,31
13,8/18/21 5:25,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/18/21,Week 5,18-Aug,5,25,33
14,8/18/21 5:10,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/18/21,Week 5,18-Aug,5,10,56
15,8/18/21 4:39,48 48 48 48 54 51 55 54 55,Wedge 6,41,Feeder,41,C57,Wedge 6,8/18/21,Week 5,18-Aug,4,39,41
