Assay_No,File_name,Start_time_in_seconds,End_time_in_seconds,Notes
2,VID_20210923_095848,63,663,
3,VID_20210923_102806,89,689,
4,VID_20210923_110223,117,717,
5,VID_20210923_115732,6,606,
6,VID_20210923_124032,72,672,
7,VID_20210923_130649,5,605,
8,VID_20210923_134459,96,696,
9,VID_20210924_103448,5,605,
10,VID_20210924_105823,7,607,
11,VID_20210924_113015,6,606,
12,VID_20210924_115303,24,624,
13,VID_20210924_122115,3,603,
14,VID_20210924_124925,5,605,
15,VID_20210924_134534,3,603,
16,VID_20210924_141006,3,603,
17,VID_20210925_102402,6,606,
18,VID_20210925_110718,5,605,
19,VID_20210925_113421,5,605,
20,VID_20210925_120400,5,605,
21,VID_20210925_125134,4,604,
22,VID_20210925_131853,5,605,
23,VID_20210925_134723,4,604,
24,VID_20210925_141726,3,603,
25,VID_20210928_093819,6,606,
26,VID_20210928_100754,3,603,
27,VID_20210928_105115,5,605,
28,VID_20210928_111453,4,604,
29,VID_20210928_114856,4,604,
30,VID_20210928_124943,4,604,"PROBLEM! CAMERA TILTED BEFORE FILMING, floor not all visible, and gets worse with tilt. Exclude?? "
31,VID_20210928_131534,3,603,
32,VID_20210928_134927,5,605,
33,VID_20210929_094421,27,627,
34,VID_20210929_101809,11,611,
35,VID_20210929_104858,7,607,
36,VID_20210929_111918,3,603,
37,VID_20210929_115855,9,609,
38,VID_20210929_122245,10,610,
39,VID_20210929_125546,4,604,
40,VID_20210929_132259,6,606,
42,VID_20210930_085126,3,603,
43,VID_20210930_091543,4,604,
44,VID_20210930_094916,3,603,
45,VID_20210930_102403,4,604,
46,VID_20210930_110448,4,604,
47,VID_20210930_120132,3,603,
48,VID_20210930_124201,4,604,
49,VID_20220417_100340,3,603,
50,VID_20220417_103111,5,605,Out of focus for a long time at beginning!! Exclude?
51,VID_20220418_093434,3,603,
52,VID_20220418_095844,4,604,
53,VID_20220418_102137,4,604,
54,VID_20220419_093123,4,604,
55,VID_20220419_100046,3,603,
56,VID_20220419_102809,8,608,
57,VID_20220419_105521,5,605,
58,VID_20220419_112751,4,604,
59,VID_20220419_121643,3,603,
60,VID_20220421_102259,4,604,
61,VID_20220421_104959,4,604,
62,VID_20220422_095544,5,605,
63,VID_20220422_102432,3,603,
64,VID_20220422_105609,3,603,
65,VID_20220422_112857,4,604,
66,VID_20220422_120541,2,602,
67,VID_20220422_131411,10,610,
68,VID_20220422_134349,2,602,
69,VID_20220422_141044,3,603,
70,VID_20220424_094533,3,603,
71,VID_20220424_100948,3,603,
72,VID_20220424_103537,2,602,
73,VID_20220424_112025,2,602,
74,VID_20220424_114354,1,601,
75,VID_20220424_120925,2,602,
